价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
2310,11,8408-A,4室1卫,3/6层,昌平区,回龙观东大街,龙锦苑东四区,地铁：距8号线回龙观东大街站950米
1970,8,8234-C,4室1卫,18/28层,朝阳区,焦化厂,燕保祈东家园一期,地铁：距7号线焦化厂站450米
,,,,,,,,
2530,9,9423-A,3室1卫,2/7层,海淀区,育新,上奥世纪,地铁：距8号线育新站1500米
2090,9,132726-B,3室1卫,2/6层,朝阳区,传媒大学,定福庄西街,地铁：距八通线传媒大学站350米
2430,8,145873-B,3室1卫,5/18层,丰台区,角门东,海户西里34号院,地铁：距10号线角门东站550米
2780,10,148624-B,3室1卫,5/6层,海淀区,田村,玉海园一里,地铁：距6号线田村站800米
2130,18,149505-B,3室1卫,5/6层,顺义区,顺义,东兴一区,地铁：距15号线顺义站400米
1730,9,149505-C,3室1卫,5/6层,顺义区,顺义,东兴一区,地铁：距15号线顺义站400米
1900,10,151943-A,3室1卫,8/25层,房山区,长阳,康泽佳苑,地铁：距房山线长阳站500米
,,,,,,,,
2700,11,580-B,3室1卫,14/14层,朝阳区,四惠东,甘露园西里,"地铁：距1号线,八通线四惠东站900米"
2340,13,8151-A,3室1卫,3/6层,大兴区,亦庄文化园,新康家园,地铁：距亦庄线亦庄文化园站750米
2880,10,116555-C,4室1卫,7/9层,海淀区,海淀五路居,五棵松26号院,地铁：距6号线海淀五路居站350米
,,,,,,,,
3240,20,149189-B,2室1卫,3/11层,石景山区,古城,古城南路,地铁：距1号线古城站500米
2000,10,150991-B,3室1卫,5/6层,通州区,果园,果园北区,地铁：距八通线果园站700米
2570,14,26885-D,4室1卫,23/25层,朝阳区,小红门,鸿博家园二期F区,地铁：距亦庄线小红门站550米
2340,22,29557-A,2室1卫,2/9层,顺义区,石门,澜西园,地铁：距15号线石门站2200米
2260,12,42145-A,2室0卫,15/18层,昌平区,天通苑北,龙冠冠华苑二区,地铁：距5号线天通苑北站4000米
2710,15,49778-C,3室1卫,3/6层,石景山区,古城,首钢古城西路,地铁：距1号线古城站950米
,,,,,,,,
1870,9,10154-C,4室1卫,1/28层,通州区,次渠南,次渠锦园南区,地铁：距亦庄线次渠南站250米
2110,12,149455-D,5室2卫,13/14层,顺义区,国展,天竺花园,地铁：距15号线国展站1300米
1880,8,150765-C,3室1卫,2/18层,昌平区,南邵,中国铁建青秀尚城,地铁：距昌平线南邵站350米
2100,8,151954-C,3室1卫,1/6层,石景山区,古城,古城南路,地铁：距1号线古城站500米
3080,19,14770-A,3室1卫,4/22层,朝阳区,褡裢坡,定福家园北里,地铁：距6号线褡裢坡站200米
2840,19,16843-A,3室1卫,6/9层,朝阳区,双桥,水岸双桥,地铁：距八通线双桥站250米
2230,14,31224-B,3室1卫,14/18层,朝阳区,东坝中街,北京城建福润四季,地铁：距3号线东坝中街站2800米
1930,7,62995-C,3室1卫,3/6层,石景山区,苹果园,苹果园小区四区,"地铁：距1号线,6号线苹果园站300米"
4300,18,141128-A,2室1卫,2/5层,东城区,和平里北街,地坛北门,地铁：距5号线和平里北街站150米
3350,21,146352-B,2室1卫,13/22层,丰台区,刘家窑,正邦嘉园,地铁：距5号线刘家窑站300米
1420,9,149472-A,3室1卫,2/15层,房山区,良乡大学城西,紫汇家园,地铁：距房山线良乡大学城西站550米
4570,80,148991-A,2室1卫,4/6层,昌平区,昌平,清秀园北区,地铁：距昌平线昌平站850米
7370,73,149461-A,1室1卫,5/6层,朝阳区,十里堡,晨光家园,地铁：距6号线十里堡站550米
2100,11,141469-D,4室1卫,11/27层,通州区,次渠南,次渠家园东里8区,地铁：距亦庄线次渠南站700米
